path,module,phase,status,notes
apps/web/app/(dashboard)/customers/[id]/page.tsx,domain,6,NJ,No direct color semantics; delegates visuals to tokenized primitives/layout wrappers
apps/web/app/(dashboard)/customers/page.tsx,domain,6,NJ,No direct color semantics; delegates visuals to tokenized primitives/layout wrappers
apps/web/app/(dashboard)/employees/[id]/page.tsx,domain,6,NJ,Reviewed orchestrator uses semantic primitives only
apps/web/app/(dashboard)/employees/page.tsx,domain,6,DN,Table surface migrated to semantic tokens
apps/web/app/(dashboard)/expenses/page.tsx,domain,6,DN,Table surface aligned to semantic border and surface tokens
apps/web/app/(dashboard)/layout.tsx,shell,4,DN,Phase 4 shell token migration
apps/web/app/(dashboard)/my-orders/page.tsx,domain,6,NJ,Orchestrator route already uses shared shell primitives and has no direct token classes
apps/web/app/(dashboard)/orders/[id]/TaskAssignmentDialog.tsx,domain,6,NJ,Dialog orchestration only and styling delegated to shared dialog/table primitives
apps/web/app/(dashboard)/orders/[id]/page.tsx,domain,6,DN,Phase 6 domain token migration wave 1
apps/web/app/(dashboard)/orders/new/page.tsx,domain,6,DN,Phase 6 domain token migration wave 1
apps/web/app/(dashboard)/orders/page.tsx,domain,6,DN,Phase 6 domain token migration wave 1
apps/web/app/(dashboard)/page.tsx,domain,6,DN,Phase 6 domain token migration wave 1
apps/web/app/(dashboard)/payments/page.tsx,domain,6,NJ,Page already composes tokenized section components without local color drift
apps/web/app/(dashboard)/reports/page.tsx,domain,6,DN,Phase 6 domain token migration wave 1
apps/web/app/(dashboard)/settings/appearance/page.tsx,domain,6,NJ,Route wrapper delegates semantic rendering to AppearanceSettingsPage
apps/web/app/(dashboard)/settings/attendance/page.tsx,domain,6,NJ,Route wrapper delegates semantic rendering to AttendanceSettingsPage
apps/web/app/(dashboard)/settings/audit-logs/page.tsx,domain,6,NJ,Route wrapper delegates semantic rendering to AuditLogsPage
apps/web/app/(dashboard)/settings/branches/[id]/page.tsx,domain,6,NJ,Route wrapper delegates semantic rendering to BranchHubConfig
apps/web/app/(dashboard)/settings/branches/page.tsx,domain,6,NJ,Route wrapper delegates semantic rendering to BranchesTable
apps/web/app/(dashboard)/settings/design-types/page.tsx,domain,6,NJ,Page orchestrator delegates semantics to design-types subcomponents
apps/web/app/(dashboard)/settings/expense-categories/page.tsx,domain,6,NJ,Route wrapper delegates semantic rendering to ExpenseCategoriesPage
apps/web/app/(dashboard)/settings/garments/[id]/page.tsx,domain,6,NJ,Detail route orchestrator delegates semantics to garment detail subcomponents
apps/web/app/(dashboard)/settings/garments/page.tsx,domain,6,NJ,Route wrapper delegates semantic rendering to GarmentTypesTable
apps/web/app/(dashboard)/settings/integrations/page.tsx,domain,6,NJ,Route wrapper delegates semantic rendering to IntegrationsSettingsPage
apps/web/app/(dashboard)/settings/measurements/[id]/page.tsx,domain,6,NJ,Detail route wrapper delegates semantic rendering to MeasurementCategoryDetail
apps/web/app/(dashboard)/settings/measurements/page.tsx,domain,6,NJ,Route wrapper delegates semantic rendering to MeasurementCategoriesTable
apps/web/app/(dashboard)/settings/page.tsx,domain,6,NJ,Redirect-only route with no theme class usage
apps/web/app/(dashboard)/settings/rates/page.tsx,domain,6,DN,Rates directory surface aligned to semantic border and surface tokens
apps/web/app/(dashboard)/settings/system/page.tsx,domain,6,NJ,Route wrapper delegates semantic rendering to SystemSettingsPage
apps/web/app/(dashboard)/settings/users/page.tsx,domain,6,NJ,Route wrapper delegates UI semantics to UsersTable component
apps/web/app/globals.css,web-theme,2,DN,Phase 1 to 3 contract and token surface migration
apps/web/app/layout.tsx,domain,6,NJ,Root provider shell has no direct theme token class mappings to migrate
apps/web/app/login/page.tsx,shell,4,DN,Phase 4 shell token migration
apps/web/app/status/[token]/page.tsx,shell,4,DN,Phase 4 shell token migration
apps/web/app/unauthorized/page.tsx,shell,4,NJ,Delegates shell styling to AuthStateCard
apps/web/components/AuthProvider.tsx,domain,6,NJ,Session provider wrapper has no UI token classes
apps/web/components/ThemePresetProvider.tsx,domain,6,NJ,Theme variable application logic already aligned to V2 tokens without class usage
apps/web/components/ThemeProvider.tsx,domain,6,NJ,next-themes passthrough provider has no token class usage
apps/web/components/auth/auth-state-card.tsx,shell,4,DN,Phase 4 shell token migration
apps/web/components/auth/can.tsx,domain,6,NJ,Authorization render guard contains no styling concerns
apps/web/components/auth/login-brand-panel.tsx,shell,4,DN,Phase 4 shell token migration
apps/web/components/auth/login-form-panel.tsx,domain,6,DN,Migrated login panel labels icons and footer divider to semantic text and divider tokens
apps/web/components/auth/with-role-guard.tsx,domain,6,NJ,Role guard logic only with no theme class usage
apps/web/components/common/ConfirmPasswordDialog.tsx,domain,6,NJ,Dialog uses shared form controls and action layout without local color overrides
apps/web/components/config/BranchHubConfig.tsx,domain,6,NJ,Hub orchestrator composes already tokenized sections without local color drift
apps/web/components/config/BranchesTable.tsx,domain,6,DN,Branches directory surface aligned to semantic border and surface tokens
apps/web/components/config/GarmentPriceHistoryDialog.tsx,domain,6,DN,History timeline states and typography migrated to semantic surface and text tokens
apps/web/components/config/GarmentTypeDialog.tsx,domain,6,DN,Global pricing and measurement scope blocks migrated to semantic surface divider and text tokens
apps/web/components/config/GarmentTypesTable.tsx,domain,6,NJ,Table composition delegates semantics to garment list subcomponents
apps/web/components/config/GarmentWorkflowStepsDialog.tsx,domain,6,DN,Workflow step rows and controls migrated to semantic surface and text tokens
apps/web/components/config/MeasurementCategoriesTable.tsx,domain,6,NJ,Page shell delegates semantic classes to measurement list/detail subcomponents
apps/web/components/config/MeasurementCategoryDetail.tsx,domain,6,DN,Detail shell cards and split sections migrated to semantic surface and divider tokens
apps/web/components/config/MeasurementCategoryDialog.tsx,domain,6,NJ,Dialog uses shared form controls without local color overrides
apps/web/components/config/MeasurementFieldDialog.tsx,domain,6,NJ,Dialog composition relies on tokenized measurement field subcomponents
apps/web/components/config/UsersTable.tsx,domain,6,DN,Access directory table surface aligned to semantic border and surface tokens
apps/web/components/config/appearance/appearance-mode-card.tsx,domain,6,DN,Mode selector card surface migrated to semantic divider and surface tokens
apps/web/components/config/appearance/appearance-preset-directory.tsx,domain,6,DN,Preset directory list cards and search affordance migrated to semantic surface and text tokens
apps/web/components/config/appearance/appearance-settings-page.tsx,domain,6,NJ,Composes tokenized cards and stat primitives without local color classes
apps/web/components/config/appearance/appearance-stats-grid.tsx,domain,6,NJ,Stats display relies on shared StatCard tone semantics
apps/web/components/config/attendance/attendance-settings-page.tsx,domain,6,DN,Ledger text hierarchy quick clock-in card and table surface migrated to semantic tokens
apps/web/components/config/audit-logs/audit-logs-page.tsx,domain,6,DN,Audit table typography and surface migrated to semantic text and surface tokens
apps/web/components/config/branches/branch-delete-summary.tsx,domain,6,DN,Delete impact panel migrated to semantic surface divider and warning-muted tokens
apps/web/components/config/branches/branch-form-dialog.tsx,domain,6,DN,Required field markers migrated to semantic error token
apps/web/components/config/branches/branches-directory-table.tsx,domain,6,DN,Directory row typography and destructive actions migrated to semantic text tokens
apps/web/components/config/branches/branches-list-toolbar.tsx,domain,6,NJ,Toolbar relies on shared table search and button primitives
apps/web/components/config/branches/branches-page-header.tsx,domain,6,NJ,Header uses shared page header and premium button primitives
apps/web/components/config/branches/hub/branch-global-pricing-card.tsx,domain,6,DN,Pricing info cards and labels migrated to semantic surface divider and text tokens
